Ubs,V;Ibs,A;Isun,A;Ipt1,A;Ipt2,A;Ipt3,A;Ipt4,A;Ipt5,A;Ipt6,A;Ipt7,A;Ipt10,A;Ipt11,A;Ipt12,A;Ipt13,A;Ipt14,A;Ipt15,A;Ipt16,A;Ipt17,A;TR1,C;TR2,C;TR3,C;TR4,C;TR5,C;TR6,C;TR7,C;TR8,C;TR9,C;TR10,C;TR11,C;TR12,C;TR13,C;TR14,C;TR15,C;TR16,C;TDS1,C;TDS2,C;TDS3,C;TDS4,C;TDS5,C;TDS6,C;TDS7,C;TDS8,C;TDS9,C;TKpt,C;TGbv,C;TNap,C;TPrd2,C;TPrd1,C;TDS24,C;Class
14,50;0,24;0,05;0,09;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;19;6;4;0;2;1;4;3;0;-4;3;5;6;4;6;17;17;17;17;17;16;15;15;15;26;18;18;17;17;22;0
14,56;0,21;0,80;0,07;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20;19;6;4;0;2;2;4;3;0;-1;3;4;8;5;5;17;16;17;17;17;16;15;15;15;26;18;18;17;17;22;0
14,63;0,24;1,09;0,07;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;19;6;4;1;2;2;4;3;0;-1;3;7;6;5;6;17;17;17;17;17;16;15;15;15;26;18;18;17;17;22;0
14,63;0,21;0,88;0,07;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;19;6;5;1;4;2;5;3;0;3;4;5;8;7;6;17;17;17;17;17;16;15;15;15;26;18;17;17;17;22;0
14,56;0,21;0,40;0,09;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20;19;6;5;1;4;2;5;4;2;6;3;7;8;7;11;17;17;17;17;17;16;15;15;15;26;18;17;17;17;22;0
14,63;0,24;0,64;0,11;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20;19;7;5;1;4;4;7;4;2;9;4;7;9;9;6;17;17;17;17;17;16;15;15;15;26;17;17;17;17;22;0
14,63;0,21;0,72;0,07;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;19;7;5;1;4;4;7;4;2;11;4;9;9;9;11;17;17;17;17;17;16;15;15;15;26;17;17;17;17;21;0
14,63;0,24;0,77;0,07;0,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;19;7;7;1;4;4;7;4;3;16;4;9;9;9;6;17;17;17;17;17;16;15;15;15;26;17;17;17;17;21;0
14,63;0,27;0,56;0,07;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21;19;7;7;1;4;5;8;4;3;17;4;10;11;9;14;17;17;17;17;17;16;15;15;15;26;17;17;17;17;21;0
14,69;0,24;0,67;0,09;0,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20;19;7;7;1;4;5;10;6;3;19;4;9;11;10;8;17;17;17;17;17;16;15;15;15;26;17;17;17;17;21;0
